scenario,scenario_label,domain,metric,label,unit,year_2010,base_year,target_year,value_2010,value_base,value_2050,growth_2010_to_base_pct,growth_2010_to_2050_pct,growth_base_to_2050_pct,data_type_2010,data_type_base,data_type_2050,source_id,note
recent_trend_2015_base_year,Tendance récente,Santé,hospital_beds,Lits hospitaliers,lits,2010,2024,2050,2714,,,,,,observed,missing,missing,ocstat_geneva_health_system,Lits observés; 2050 = stock base + besoin additionnel si le stock existe.
recent_trend_2015_base_year,Tendance récente,Transports publics,tpg_passengers,Fréquentation TPG,voyageurs/an,2010,2024,2050,172057000,222254000,357537502.71,29.17,107.8,60.87,observed,observed,estimated,ocstat_geneva_transport,Fréquentation annuelle; 2050 estimé par tendance si la série est complète.
recent_trend_2015_base_year,Tendance récente,Transports publics,transport_revenue,Revenus des transports TPG,M CHF,2010,2024,2050,127.9,156.55,227.87,22.4,78.16,45.56,observed,observed,estimated,tpg_annual_reports_finance,Revenus des transports selon comptes de résultat TPG; 2050 estimé par tendance.
recent_trend_2015_base_year,Tendance récente,Transports publics,operating_subsidy,Subvention / indemnité TPG,M CHF,2010,2024,2050,183.54,283.37,641.74,54.39,249.65,126.47,observed,observed,estimated,tpg_annual_reports_finance,Indemnité/subvention d’exploitation; 2050 = tendance coût ajustée par l’écart de tension vs tendance actuelle.
recent_trend_2015_base_year,Tendance récente,Transports publics,operating_expenses,Charges d’exploitation TPG,M CHF,2010,2024,2050,354.89,551.98,1267.32,55.54,257.1,129.6,observed,observed,estimated,tpg_annual_reports_finance,Charges d’exploitation selon comptes de résultat TPG; 2050 = tendance coût ajustée par l’écart de tension vs tendance actuelle.
initiative_linear,Scénario initiative,Démographie,population,Population résidante,habitants,2010,2024,2050,453292,524410,582410,15.69,28.48,11.06,observed,observed,estimated,ocstat_geneva_population,Population observée puis scénario 2050.
initiative_linear,Scénario initiative,Démographie,annual_growth,Croissance annuelle,habitants/an,2010,2024,2050,7186,10296,2231,43.28,-68.95,-78.33,observed,observed,estimated,ocstat_geneva_population,Variation annuelle observée; 2050 correspond à la croissance annuelle du scénario.
initiative_linear,Scénario initiative,Démographie,population_growth_cumulative,Croissance cumulée population,%,2010,2024,2050,0,15.69,28.48,15.69,28.48,12.79,observed,observed,estimated,ocstat_geneva_population,"Croissance réelle cumulée depuis 2010: 2010 = 0 %, base observée puis projection 2050 selon le scénario."
initiative_linear,Scénario initiative,Économie,gdp,PIB cantonal,M CHF,2010,2024,2050,48388.04695,62877,102270.11,29.94,111.35,62.65,observed,observed,estimated,bfs_ocstat_geneva_gdp,PIB cantonal; 2050 estimé par CAGR 2010-base si la série est fournie.
initiative_linear,Scénario initiative,Logement,housing_stock,Logements totaux,logements,2010,2024,2050,215840.18,251810,279430,16.67,29.46,10.97,estimated,observed,estimated,ocstat_geneva_housing,"Stock observé depuis la première année disponible; 2010 est une estimation extrapolée linéairement pour afficher la croissance cumulée, 2050 = stock base + besoin additionnel du scénario."
